"merchant_id","merchant_name","city"
"MER0V0Y1CXMLMXQ","Fuller-Lopez","Elizabethview"
"MER0V69N7WLCGIW","Hernandez-Humphrey","Lake Jacqueline"
"MER0VFKB1WGDT95","Pierce-Mason","Jacobberg"
"MER0VGZNSM14LW8","Peterson, Mills and Torres","Crystalbury"
"MER0W0T1PBMHP3Z","Mueller PLC","West Joshuashire"
"MER0W2N1Q4X7K25","King-Taylor","West Melissa"
"MER0W3AWM9OR6W1","Hutchinson-Nelson","Hobbsbury"
"MER0W8ACUPYORK6","Harrison-Carter","South Traceyville"
"MER0WBXAACF5STD","Butler Inc","Fryebury"
"MER0WJH4REEV1UO","Yates, Clark and Spears","Port Nancy"
"MER0WL56XKBD9CD","Burton PLC","Hicksberg"
"MER0WLZ58FZQ6AH","Hicks-Martin","East Russell"
"MER0WP2C281LDSQ","Rose-Barnes","Markton"
"MER0WSKLFONBOTI","Martin-Glover","Nelsonberg"
"MER0WYXEVDCEW0W","Walker-Jackson","Lake Natalieton"
"MER0X71OQ6T750J","Hammond Ltd","Michaelport"
"MER0XLIWQYSZCMO","Kramer, Hall and Moore","South Elizabeth"
"MER0XOKBL5SKVGY","Williams LLC","North Alyssa"
"MER0XYY3PAA2XSE","Silva, Meyer and Parker","Amybury"
"MER0Y9WWUTDL505","Watkins, Cordova and Harris","North Amanda"
"MER0YWP5PE30UAY","Gonzalez-Bowers","Port Rebeccafort"
"MER0YX8C1XP5RH0","Cunningham PLC","West Deniseberg"
"MER0YXRAUF0JWJY","Briggs Inc","Susanfurt"
"MER0Z1DQVU15GF6","Watson PLC","Stephenbury"
"MER0ZMR5IHA6M1G","Richardson-Hoffman","South Lindsey"
"MER0ZPPSSUQ3V1K","Kelley LLC","West Joel"
"MER1050Z2UJCPWM","Harrison-Cole","Johnsonshire"
"MER10HNPTPTUAV6","Larson PLC","Port Juliaside"
"MER10KFBUJH8LYG","Kelley and Sons","Danielside"
"MER10KHQSFD3SYB","Blake-Smith","Jenniferstad"
"MER10OC7MQEWIRA","Bryant-Simpson","Hartmanshire"
"MER10OYM7IQER8U","Fowler, Richmond and Warren","North Anthony"
"MER10VFVWBZGSWB","Gonzalez and Sons","North Justinmouth"
"MER118I7HMB1QWG","Curry, Baker and Carlson","West Alberttown"
"MER11MOEN4OE0HW","Kidd, Jones and Carroll","Lake Christinestad"
"MER11YIG6BK2SU1","Willis, Johnson and Powell","Susanhaven"
"MER125MDK4KC4FU","Coleman, Daniel and Pope","South Crystalshire"
"MER12DE4NMLRLOR","Lopez-Cruz","South Seantown"
"MER12YG8WHPP15F","Owens, King and Wright","Michaelton"
"MER13DR7PKTWV4Z","Calderon PLC","North Biancachester"
"MER13S7JF67ROCC","Guerra LLC","Port Johnny"
"MER145SNKFI0NN3","Gray PLC","Port Russellton"
"MER147MMAS04TVV","Perkins Ltd","Scottport"
"MER147Y2E87RDIK","Walker, Rodriguez and Guerrero","New Mary"
"MER14EUKUY97ZAK","Parrish, Davis and Simon","Lake Matthewborough"
"MER14M4617WOP0T","Martinez-Fitzgerald","Bellberg"
"MER14OW1RYWJUXE","Valentine-Crawford","Parkertown"
"MER15IVZNX4V34Y","Riley LLC","New Anthonyland"
"MER15QRE31XF02J","Haynes-Wright","Davisside"
"MER15XQBGKNK64K","Villa Inc","Benjaminview"
"MER15YSYAEANJLS","Nelson-Bray","South Kimton"
"MER16SU3U1KW3SP","Mann-Powell","Hayesbury"
"MER173XYYJ2RW28","Vance-Flores","South Dustin"
"MER17GC8FDR2E67","Ramos and Sons","Morrisport"
"MER18NXLQAXAD8L","Pugh Ltd","Williamsberg"
"MER18XFM896PDK0","Morgan, Barton and Powell","West Jennifer"
"MER190J52GKI3LW","Clark, Martin and Castillo","Hamptonland"
"MER198FWIJINRM1","Gutierrez, Jensen and Sampson","Booneton"
"MER19B9IJFA4W7T","Novak-Evans","West Ericport"
"MER19PWWD7286HC","Wong-Green","Meyerburgh"
"MER19Y5HNNHPU4E","Thomas, Pope and Morse","Ortegahaven"
"MER1A10ZBMV62YM","Garner-Sanchez","Ericafort"
"MER1A8UJLQSJV5R","Jarvis-Harrison","West Elizabethshire"
"MER1AIQ7CX5588O","Payne-Clark","New Michealside"
"MER1AJ55OLZZWMW","Hudson, Lutz and Mcgrath","Karaport"
"MER1AKZSHBAJ8TE","Fisher, Aguilar and Payne","Aliton"
"MER1BAD28LS5WO3","Anderson-Gonzalez","Brianside"
"MER1BCGF4XQ6Q69","Gibson, Watson and Roman","Selenafurt"
"MER1BHAINCPYAHT","Ross and Sons","South Davidbury"
"MER1BHWE005KGV9","Bishop, Henderson and Ruiz","Lake Tony"
"MER1BKIYTM8OERL","Armstrong-Cook","Miamouth"
"MER1BNA8HUYKK8X","Brown, Garcia and Cross","East Bruce"
"MER1BS3KKET17J9","Park and Sons","Port Curtismouth"
"MER1BTBFDFFOEZF","Cisneros, Barnes and Morgan","West Carmenside"
"MER1C4PYNZ0MF3U","Martinez-Black","Lake Sarahmouth"
"MER1CFPNY3IRGQS","Adkins-Burch","Dawnborough"
"MER1CHVTKYRE3SQ","Ferguson and Sons","North Monicaton"
"MER1CZPNFUTSEI5","Rios, Ramos and Martinez","Clarkmouth"
"MER1D6MQ7U7TZ23","Parks Ltd","Williamsbury"
"MER1D7G867JKHJ4","Martinez PLC","Wilsonland"
"MER1DRD0QVTHDPQ","Carlson PLC","West Ginaview"
"MER1E4WRW1I54II","Kaufman, Fowler and Day","Lake Sarahbury"
"MER1EDHLHZ42RS3","Russell PLC","West Gene"
"MER1EEFKLZHKBHM","Banks LLC","Williamsonberg"
"MER1EO7PHUE0YJ4","Stevens LLC","Michellemouth"
"MER1EXJ0GSUGT99","Jones Inc","Thompsonburgh"
"MER1F30FWQJSOXM","Vasquez and Sons","Nancyborough"
"MER1FO00JIZKRMI","Dyer-Diaz","New Corystad"
"MER1FUI6ABKRCLB","Peterson-Jones","Kellyside"
"MER1G0V0XACEC5W","Scott PLC","Lake John"
"MER1H7PE7STQU7O","Calderon-Carter","Perezshire"
"MER1HO12WY2EH2Q","Reid, Everett and Marshall","West Nicholas"
"MER1HPI05KCGARV","Williams, Williams and Juarez","Kendraborough"
"MER1HUI1E3TP4CH","Barnes, Davis and Roman","Port Steve"
"MER1I58SERZD170","Martinez-Nguyen","West Tracychester"
"MER1II3F4E9PNZO","Martin, Martinez and Wilson","East Janet"
"MER1IJWFQUT7MEJ","Newton-Rodgers","Danielstad"
"MER1INIEMVP89QU","Ramirez, Barr and Murphy","Piercefurt"
"MER1IU28NDNKPCB","Kidd, Jennings and Stevens","Terriberg"
"MER1J2SI8APF4HR","Jones and Sons","North Billshire"
"MER1JNJMS65GOT8","Thomas Group","New Charlesview"
"MER1JO3UQNU2FXD","Quinn and Sons","New Evan"
"MER1JRI986EKA8C","Hammond-Cobb","Carlosmouth"
"MER1JYOHHDXLDSN","Davis Inc","Brianland"
"MER1KPZPUQU2DW4","Vincent, Palmer and Harris","Lake Tinaberg"
"MER1L0QC3WGHVQF","Vincent-Smith","Grantchester"
"MER1L3WPLR67OJK","Barry-Gonzalez","Port Brittanyview"
"MER1LHMA545J6YK","Bender-Parks","North Shannon"
"MER1LMS73T5T0ZN","Vazquez, Martin and Jenkins","East Sherryshire"
"MER1M6D6OCUSRMY","Williams-Edwards","Lake Scott"
"MER1M8S3YHC927Y","Cox PLC","Lake Nicholas"
"MER1MA5PGHX6YTT","Cardenas-Shields","North Jeffrey"
"MER1MJN34A1CPEZ","Brown-Dillon","Stewarthaven"
"MER1MO9EPKV14G3","Bell-Smith","Smithland"
"MER1N5BL97I5YDA","Harrison-Marsh","New Matthew"
"MER1N5W7K5277FE","Green Inc","Walkerberg"
"MER1NPYTVGE9S8B","Diaz, Livingston and James","Port Susanport"
"MER1NYQ4ZHFX8YY","Wright LLC","East Samantha"
"MER1O3DQSFHI1R8","Holt Group","South Jenny"
"MER1O4HJI5PIUIL","Jensen-Smith","East Christinaberg"
"MER1O51ZUIT7SAX","Davis, Hodge and Martin","Port Brandibury"
"MER1OP17K4NO73W","Duffy, Lucas and Fisher","South Louisborough"
"MER1ORPY1AR7NL4","Torres Ltd","Nielsenburgh"
"MER1P59IPS8BLHV","Sullivan, Randall and Glenn","Walkertown"
"MER1PCY11CD04ZT","Horton, Poole and Wright","New Laurietown"
"MER1PG5UVH8L7NM","Thomas, Carrillo and Wiley","New Jennifer"
"MER1PHVHNB4DQJY","Hart PLC","Anthonystad"
"MER1PIOU800NW3P","Rodriguez Ltd","Brentland"
"MER1PLSHW2OC40A","Robles, Harris and Nixon","North Judy"
"MER1PQS52DBUR8R","Jackson Group","Lake Deniseborough"
"MER1Q6IDXPKS7SU","Morgan, Haynes and Castaneda","Scottshire"
"MER1QKJVUB4D4LK","Johnson, Whitaker and Jackson","Johnside"
"MER1QQ2F9SEU00Z","Miller Inc","Tamaraview"
"MER1QQ2MX0WMXZB","Weber, Collins and Davis","South Teresaport"
"MER1RJC2VTBCGTE","Everett LLC","East Kathryn"
"MER1RYEM6BUJ3J7","Smith-Brown","Grossmouth"
"MER1S55GV853DIP","Chan, Wilson and Huynh","Jonesside"
"MER1S65FG2XIBI3","Myers and Sons","South Zacharyville"
"MER1S66I9RCMVHA","Fleming LLC","Ianview"
"MER1SHYUB3A0GPT","Campbell, Richardson and Flores","East Megan"
"MER1T4CD342X367","Alexander, Simpson and Patterson","Cookmouth"
"MER1TD86SD1Y8XA","Jacobs-Barnes","West Luis"
"MER1TFZ5Z3B7U15","Bradley Inc","Kimberlystad"
"MER1TOWFQCSS9O5","Garcia and Sons","Lisachester"
"MER1UCT5LOE8NRE","Keller Inc","North Kevinfort"
"MER1UIZJT1NCFA4","Keller, Avery and Hill","Lindseystad"
"MER1USHASPZZAG3","Madden, Sherman and Roberts","Alexisfort"
"MER1UX13Q7F0OE8","Gentry-Garcia","Richardfort"
"MER1V4FJ6BATOOY","Bennett-Perry","North Sherry"
"MER1V6F4NE8CN6J","Scott-Rangel","Javierland"
"MER1V6TPVQFMBO1","Jackson-White","Donaldsonchester"
"MER1VC0QWPFNJJZ","Clark, Reynolds and Carr","East Eileen"
"MER1VDQAP2NOAOQ","Miller-Lewis","Lake Michaelville"
"MER1VFF1RHM3G53","Johnson Group","Garrettbury"
"MER1VI4Y62C0RQR","Perez, Dodson and Johnson","East Adam"
"MER1WWA5YAZF1EW","Alvarez, West and Allen","New Angelachester"
"MER1X3CLS1LOZ2K","Jackson, Farrell and Farmer","Kevinfurt"
"MER1X4AH1E9JKEE","Wells and Sons","Combsland"
"MER1XBD7C7X80RY","Ward, Newman and Holmes","South Jamieside"
"MER1XOJBTP0Q15P","Jones Inc","West George"
"MER1XWB7N77TLRK","Miller Inc","Stephanieberg"
"MER1XXCRXOY3AGQ","Bates and Sons","Gilmoreberg"
"MER1Y3Z3SHDQ7JU","Stevenson, Salas and Gallegos","Timothytown"
"MER1YENDZB87OQ9","Porter-Bishop","Nancyhaven"
"MER1YU28L6BC2EH","Cooper LLC","Moodyland"
"MER1YZ7VTW5RVB5","Wu, Williams and Jones","Martinezton"
"MER1Z2UHNLM0LAM","Sanchez LLC","Chapmanberg"
"MER1ZIHNQM9HYHU","Kemp-Black","Sylviabury"
"MER1ZQKP5LIRQSJ","Stanton LLC","Wolfshire"
"MER201EWXZX5CSN","Wilson PLC","Lake Mary"
"MER20AJ2HSHDP7P","Johnson Inc","East Ethantown"
"MER20M87ZNK1BDE","Lindsey-Taylor","New Rebecca"
"MER20Q56JUW07WE","Smith-Ross","Thomasland"
"MER217L52IBB9W9","Simmons-Valdez","Toddburgh"
"MER21BUGF3N9WHI","Giles LLC","Powersmouth"
"MER21O7ZC1PMV43","Davis, Rogers and Jones","Carlsonland"
"MER21VNLNYWNMT6","Pittman PLC","Matthewton"
"MER21VZST0P421C","Jackson PLC","Rebeccafort"
"MER22BNJVW44H9M","Branch LLC","Joshuaside"
"MER22GXCOGGU6HS","Zimmerman, Wilcox and Baker","Port Patricia"
"MER22VDA8UJ9EDD","Edwards, Trevino and Simpson","Lewisborough"
"MER23N012ZO5FLZ","Hart-Garcia","Lake Brenda"
"MER23XLK0Q89NVV","Hobbs, Parsons and Marsh","North Lynnport"
"MER244XX5NYX69P","Hendrix Inc","West Williamview"
"MER2450Y4M1M1LX","Myers-Smith","New Amber"
"MER246LXNLWOZPS","Abbott LLC","East Kimberlyville"
"MER24AEI31C7G83","Mckee PLC","West Amanda"
"MER24EAWWW2JNFF","Cuevas Inc","West Brian"
"MER24JVII6OTVO0","Kerr, Boone and Cannon","Port Kathleen"
"MER24S7BG5CW3UH","Simmons-Barnett","Lake Michelefort"
"MER24ZZ63DQ8CZM","Martinez, Dalton and Rose","Lake Jennifershire"
"MER25C5O6F52DEK","Jones Group","North Anitafort"
"MER268EOZ1FBAOI","Moore-Cisneros","Danielview"
"MER26I35AFHHZTH","Doyle PLC","Porterbury"
"MER26JAXWEBMBHP","Gibson-Mitchell","New Ariana"
"MER26LYEAR945RV","Moore, Ramirez and George","Lake Amy"
"MER270S5IT32TQM","Cordova-Johnson","Lake Renee"
"MER27C4A1NTDKKP","Hampton PLC","Connorhaven"
"MER281XTNX4SEM8","Palmer Ltd","South William"
"MER288IEMG7UC9O","Powers-Nelson","West Pamela"
"MER28CIWFPTTZA1","Meyer PLC","Port Stephanie"
"MER290B5U9Z8VJB","Lutz LLC","Adamsside"
"MER292WEALBHLPT","Williams-Murphy","Maryview"
"MER29A0STQGOW4X","Russell Inc","Pearsonshire"
"MER29GKTE160XR6","Holmes, Flores and Martin","Smithshire"
"MER29KMENE8LFX2","Ramirez, Andersen and Valentine","Samuelshire"
"MER29NETACZ7YGG","Cruz LLC","Richardshire"
"MER29UZD1WNLS6N","Hamilton-Kent","Lake Angela"
"MER29YANRZG2264","Wilson Inc","Lake Ashleyside"
"MER2A928ZVG1IB4","Maynard-Rice","North Robin"
"MER2ACC1UTZM5IL","Torres Ltd","West Jacob"
"MER2AVXUP1EXXKQ","Powell PLC","Hintonside"
"MER2B9T8HHYQ2UH","Sanchez LLC","New Michaelview"
"MER2BFPSLQT4OZZ","Campbell, Williams and Buchanan","West Daniel"
"MER2C8DSJECF8OH","Johnson-Anderson","Larryton"
"MER2CEHSF1ES60U","Larson Ltd","Jamesview"
"MER2DHIVMQ17ZGK","Jones, Mcneil and Singleton","Lake Karen"
"MER2DYJCOUNL1JC","Villegas-Thompson","Johnsonland"
"MER2ECZ0BBSHBV7","Wang, Obrien and Gamble","Nelsonview"
"MER2F73QTDVCNO0","Alvarez-Roy","Mayerside"
"MER2F7O11BMOTD6","Taylor-Barry","Ryanborough"
"MER2FK74LSUXHL9","Doyle and Sons","East Nicholas"
"MER2FOTNYF66HQB","Hester, Booth and Gonzales","Hansenmouth"
"MER2G5ZASOFUCHI","Carlson-Smith","Reidfort"
"MER2GA2ZQNU5WNL","Sellers, Tyler and Rodriguez","East Jameston"
"MER2GI8NIYV3NZH","Gregory, Caldwell and Scott","Port Blake"
"MER2GKWECSEJWXE","Padilla Group","Hannahland"
"MER2GYUZG86O66E","Love-Turner","South Kathleenside"
"MER2HCEJ1Q3LMRF","Smith, Turner and Gordon","Boonehaven"
"MER2HECXACPY9PM","Chan LLC","Anthonyfort"
"MER2HIZO8Q1GZ2X","Freeman Group","West Thomas"
"MER2HJEOC735DL8","Pitts Group","New Cheryl"
"MER2HK05A8SFT7R","Stephens-Price","South Douglas"
"MER2HP6CYXYJWBW","Smith-Holland","Lake Deanna"
"MER2HQ5ZGSVPV57","Horton, Rosales and Oliver","East Rebekah"
"MER2I68A9OIRDJ1","Fuller-Robinson","Davidland"
"MER2IHMF5MJ00HE","Hicks Ltd","West Patrickstad"
"MER2IJG04TKBVJV","Allen-Carr","South Huntershire"
"MER2INWCVS5SP5N","Hansen-Sparks","Jacksonbury"
"MER2IY1YE27RYTB","Morgan, Allison and Davis","West Lisa"
"MER2JLUR3UR27W3","Parker, Smith and Jennings","West Christina"
"MER2JO21UAP8X42","Stokes-Hendricks","Jamesborough"
"MER2JSZMLJLYVRB","Porter Ltd","South Lauramouth"
"MER2K653SMXS0T5","Pratt-Allen","Tonyaborough"
"MER2K6Y8TQQOF43","Lewis, Moyer and Huffman","Angelicafurt"
"MER2KMRXU3FMQUD","Thompson, Vasquez and Walter","Robertsport"
"MER2KMZCT2AKDYJ","Guerra-Mason","Monicaberg"
"MER2KW25GNBJV4V","Rogers, Ramsey and Carlson","Lake Wendymouth"
"MER2KWGKPVKO6OS","Reilly PLC","South Melinda"
"MER2LAKPX8WOA69","Kim-Walker","Port Katherine"
"MER2LVI8J75WUUZ","Patrick-Adkins","Brandonside"
"MER2LZ78M6EZMEO","Horn, Figueroa and Daniels","Karlburgh"
"MER2M0XUHCST4KO","Rodriguez, Johnson and Thompson","Ambermouth"
"MER2MBS14RWRID7","Hernandez-Cervantes","West Lauraborough"
"MER2MSXPOM4DCHH","Johnson and Sons","Mauricehaven"
"MER2N7LPO9Y4HDC","Brown-Allen","East Brittanyside"
"MER2NIXI6F1J3SQ","White PLC","Lake Joseph"
"MER2O7E65BD75N3","Clark Inc","Clarkburgh"
"MER2O81R1F2SY50","Gardner Ltd","Joseport"
"MER2OEMU6ZWPCT2","Flores, Gonzalez and Barrera","Evansshire"
"MER2P29OVPVALHI","Sandoval and Sons","Thompsonland"
"MER2PAC1PJ6JS14","Acosta, Johnston and Harris","Wagnermouth"
"MER2PSEKJ1IN7MQ","Fritz, Sanchez and Meyer","West Michael"
"MER2Q5HUW59V6LU","Taylor PLC","Ramirezburgh"
"MER2Q5Z2387PDJY","Walker LLC","Riverabury"
"MER2QDXZQNE9K8P","Huang-Wiggins","Alexmouth"
"MER2QPRTEQR1YNG","Crawford-Patrick","South Lorichester"
"MER2QPZEFJFQ7C4","Mcknight, Bullock and Davis","Lake Christophermouth"
"MER2QYTU4TUZDSC","Valenzuela Inc","North Amanda"
"MER2R08XL7CIT3J","Turner, Griffin and Juarez","New Sonya"
"MER2RGWUE9WDUSU","Castillo, Walker and Cortez","North Michaelland"
"MER2RUPMQTFB96A","Valdez-Buck","Lake Michael"
"MER2RYB5HKJRJBR","Medina LLC","Matthewview"
"MER2S2ZG51JY4PK","Reynolds-Ingram","Collinsstad"
"MER2S3CTO00HG20","Meza, Shannon and Floyd","Heidimouth"
"MER2S41DSJBV8OG","Bass, Owens and Pierce","East Michael"
"MER2S78MU16GM5R","Harper-Garcia","South Janice"
"MER2S8HXQL6TXMH","Horn-Holmes","South Brittney"
"MER2SDP7G7S4YRE","Flowers-Brown","North Christinefort"
"MER2SDWZ7C0DJ24","Bonilla-Robinson","Port Anthonybury"
"MER2SHZXZ8XNDHT","Lewis, Brown and Miller","West Richardville"
"MER2ST9MWV834TX","Kline, Walker and Wright","Kevinland"
"MER2STKKZPQ1CNJ","Green, Valdez and Lee","Malikside"
"MER2T44SBFZXUEB","Davies Group","South Robinchester"
"MER2T4Y365IY44T","Taylor, Meza and Mosley","Markhaven"
"MER2TFW7AH9MIDJ","Tate, Zavala and Porter","Ashleyfort"
"MER2TGBVNQJK8AD","Huffman, Gardner and Jones","Elizabethland"
"MER2TJZWRN3R3YI","Garcia, Garza and Davenport","East Elizabeth"
"MER2TLRJ5B25P74","Howard and Sons","West Andrewton"
"MER2TRXC5KPLHT3","Fitzgerald, Mitchell and Rogers","Andrewshaven"
"MER2URH2DX25UD2","Anderson-Taylor","East Ericside"
